,kline_daily,kline_60m,trading_date
0,False,False,2007-11-30
1,False,False,2007-12-03
2,False,False,2007-12-04
3,False,False,2007-12-05
4,False,False,2007-12-06
5,False,False,2007-12-07
6,False,False,2007-12-10
7,False,False,2007-12-11
8,False,False,2007-12-12
9,False,False,2007-12-13
10,False,False,2007-12-14
11,False,False,2007-12-17
12,False,False,2007-12-18
13,False,False,2007-12-19
14,False,False,2007-12-20
15,False,False,2007-12-21
16,False,False,2007-12-24
17,False,False,2007-12-25
18,False,False,2007-12-26
19,False,False,2007-12-27
20,False,False,2007-12-28
21,False,False,2008-01-02
22,False,False,2008-01-03
23,False,False,2008-01-04
24,False,False,2008-01-07
25,False,False,2008-01-08
26,False,False,2008-01-09
27,False,False,2008-01-10
28,False,False,2008-01-11
29,False,False,2008-01-14
30,False,False,2008-01-15
31,False,False,2008-01-16
32,False,False,2008-01-17
33,False,False,2008-01-18
34,False,False,2008-01-21
35,False,False,2008-01-22
36,False,False,2008-01-23
37,False,False,2008-01-24
38,False,False,2008-01-25
39,False,False,2008-01-28
40,False,False,2008-01-29
41,False,False,2008-01-30
42,False,False,2008-01-31
43,False,False,2008-02-01
44,False,False,2008-02-04
45,False,False,2008-02-05
46,False,False,2008-02-13
47,False,False,2008-02-14
48,False,False,2008-02-15
49,False,False,2008-02-18
50,False,False,2008-02-19
51,False,False,2008-02-20
52,False,False,2008-02-21
53,False,False,2008-02-22
54,False,False,2008-02-25
55,False,False,2008-02-26
56,False,False,2008-02-27
57,False,False,2008-02-28
58,False,False,2008-02-29
59,False,False,2008-03-03
60,False,False,2008-03-04
61,False,False,2008-03-05
62,False,False,2008-03-06
63,False,False,2008-03-07
64,False,False,2008-03-10
65,False,False,2008-03-11
66,False,False,2008-03-12
67,False,False,2008-03-13
68,False,False,2008-03-14
69,False,False,2008-03-17
70,False,False,2008-03-18
71,False,False,2008-03-19
72,False,False,2008-03-20
73,False,False,2008-03-21
74,False,False,2008-03-24
75,False,False,2008-03-25
76,False,False,2008-03-26
77,False,False,2008-03-27
78,False,False,2008-03-28
79,False,False,2008-03-31
80,False,False,2008-04-01
81,False,False,2008-04-02
82,False,False,2008-04-03
83,False,False,2008-04-07
84,False,False,2008-04-08
85,False,False,2008-04-09
86,False,False,2008-04-10
87,False,False,2008-04-11
88,False,False,2008-04-14
89,False,False,2008-04-15
90,False,False,2008-04-16
91,False,False,2008-04-17
92,False,False,2008-04-18
93,False,False,2008-04-21
94,False,False,2008-04-22
95,False,False,2008-04-23
96,False,False,2008-04-24
97,False,False,2008-04-25
98,False,False,2008-04-28
99,False,False,2008-04-29
100,False,False,2008-04-30
101,False,False,2008-05-05
102,False,False,2008-05-06
103,False,False,2008-05-07
104,False,False,2008-05-08
105,False,False,2008-05-09
106,False,False,2008-05-12
107,False,False,2008-05-13
108,False,False,2008-05-14
109,False,False,2008-05-15
110,False,False,2008-05-16
111,False,False,2008-05-19
112,False,False,2008-05-20
113,False,False,2008-05-21
114,False,False,2008-05-22
115,False,False,2008-05-23
116,False,False,2008-05-26
117,False,False,2008-05-27
118,False,False,2008-05-28
119,False,False,2008-05-29
120,False,False,2008-05-30
121,False,False,2008-06-02
122,False,False,2008-06-03
123,False,False,2008-06-04
124,False,False,2008-06-05
125,False,False,2008-06-06
126,False,False,2008-06-10
127,False,False,2008-06-11
128,False,False,2008-06-12
129,False,False,2008-06-13
130,False,False,2008-06-16
131,False,False,2008-06-17
132,False,False,2008-06-18
133,False,False,2008-06-19
134,False,False,2008-06-20
135,False,False,2008-06-23
136,False,False,2008-06-24
137,False,False,2008-06-25
138,False,False,2008-06-26
139,False,False,2008-06-27
140,False,False,2008-06-30
141,False,False,2008-07-01
142,False,False,2008-07-02
143,False,False,2008-07-03
144,False,False,2008-07-04
145,False,False,2008-07-07
146,False,False,2008-07-08
147,False,False,2008-07-09
148,False,False,2008-07-10
149,False,False,2008-07-11
150,False,False,2008-07-14
151,False,False,2008-07-15
152,False,False,2008-07-16
153,False,False,2008-07-17
154,False,False,2008-07-18
155,False,False,2008-07-21
156,False,False,2008-07-22
157,False,False,2008-07-23
158,False,False,2008-07-24
159,False,False,2008-07-25
160,False,False,2008-07-28
161,False,False,2008-07-29
162,False,False,2008-07-30
163,False,False,2008-07-31
164,False,False,2008-08-01
165,False,False,2008-08-04
166,False,False,2008-08-05
167,False,False,2008-08-06
168,False,False,2008-08-07
169,False,False,2008-08-08
170,False,False,2008-08-11
171,False,False,2008-08-12
172,False,False,2008-08-13
173,False,False,2008-08-14
174,False,False,2008-08-15
175,False,False,2008-08-18
176,False,False,2008-08-19
177,False,False,2008-08-20
178,False,False,2008-08-21
179,False,False,2008-08-22
180,False,False,2008-08-25
181,False,False,2008-08-26
182,False,False,2008-08-27
183,False,False,2008-08-28
184,False,False,2008-08-29
185,False,False,2008-09-01
186,False,False,2008-09-02
187,False,False,2008-09-03
188,False,False,2008-09-04
189,False,False,2008-09-05
190,False,False,2008-09-08
191,False,False,2008-09-09
192,False,False,2008-09-10
193,False,False,2008-09-11
194,False,False,2008-09-12
195,False,False,2008-09-16
196,False,False,2008-09-17
197,False,False,2008-09-18
198,False,False,2008-09-19
199,False,False,2008-09-22
200,False,False,2008-09-23
201,False,False,2008-09-24
202,False,False,2008-09-25
203,False,False,2008-09-26
204,False,False,2008-10-06
205,False,False,2008-10-07
206,False,False,2008-10-08
207,False,False,2008-10-09
208,False,False,2008-10-10
209,False,False,2008-10-13
210,False,False,2008-10-14
211,False,False,2008-10-15
212,False,False,2008-10-16
213,False,False,2008-10-17
214,False,False,2008-10-20
215,False,False,2008-10-21
216,False,False,2008-10-22
