stock_code,is_success
000001.XSHE,False
000002.XSHE,False
000004.XSHE,False
000005.XSHE,False
000006.XSHE,False
000007.XSHE,False
000008.XSHE,False
000009.XSHE,False
000010.XSHE,False
000011.XSHE,False
000012.XSHE,False
000014.XSHE,False
000016.XSHE,False
000017.XSHE,False
000018.XSHE,False
000019.XSHE,False
000020.XSHE,False
000021.XSHE,False
000022.XSHE,False
000023.XSHE,False
000024.XSHE,False
000025.XSHE,False
000026.XSHE,False
000027.XSHE,False
000028.XSHE,False
000029.XSHE,False
000030.XSHE,False
000031.XSHE,False
000032.XSHE,False
000033.XSHE,False
000034.XSHE,False
000035.XSHE,False
000036.XSHE,False
000037.XSHE,False
000038.XSHE,False
000039.XSHE,False
000040.XSHE,False
000042.XSHE,False
000043.XSHE,False
000045.XSHE,False
000046.XSHE,False
000048.XSHE,False
000049.XSHE,False
000050.XSHE,False
000055.XSHE,False
000056.XSHE,False
000058.XSHE,False
000059.XSHE,False
000060.XSHE,False
000061.XSHE,False
000062.XSHE,False
000063.XSHE,False
000065.XSHE,False
000066.XSHE,False
000068.XSHE,False
000069.XSHE,False
000070.XSHE,False
000078.XSHE,False
000088.XSHE,False
000089.XSHE,False
000090.XSHE,False
000096.XSHE,False
000099.XSHE,False
000100.XSHE,False
000150.XSHE,False
000151.XSHE,False
000153.XSHE,False
000155.XSHE,False
000156.XSHE,False
000157.XSHE,False
000158.XSHE,False
000159.XSHE,False
000166.XSHE,False
000301.XSHE,False
000333.XSHE,False
000338.XSHE,False
000400.XSHE,False
000401.XSHE,False
000402.XSHE,False
000403.XSHE,False
000404.XSHE,False
000406.XSHE,False
000407.XSHE,False
000408.XSHE,False
000409.XSHE,False
000410.XSHE,False
000411.XSHE,False
000413.XSHE,False
000415.XSHE,False
000416.XSHE,False
000417.XSHE,False
000418.XSHE,False
000419.XSHE,False
000420.XSHE,False
000421.XSHE,False
000422.XSHE,False
000423.XSHE,False
000425.XSHE,False
000426.XSHE,False
000428.XSHE,False
000429.XSHE,False
000430.XSHE,False
000488.XSHE,False
000498.XSHE,False
000501.XSHE,False
000502.XSHE,False
000503.XSHE,False
000504.XSHE,False
000505.XSHE,False
000506.XSHE,False
000507.XSHE,False
